time,BTC,ETH,BCH,XRP,LTC,XMR,ZEC,DASH,ETC,NEO
2013-06-07,111.0,,,,,,,,,
2013-06-06,118.97,,,,,,,,,
2013-06-05,121.9,,,,,,,,,
2013-06-04,121.4,,,,,,,,,
2013-06-03,120.74,,,,,,,,,
2013-06-02,122.5,,,,,,,,,
2013-06-01,129.3,,,,,,,,,
2013-05-31,128.82,,,,,,,,,
2013-05-30,128.8,,,,,,,,,
2013-05-29,132.25,,,,,,,,,
2013-05-28,129.0,,,,,,,,,
2013-05-27,129.77,,,,,,,,,
2013-05-26,133.5,,,,,,,,,
2013-05-25,131.99,,,,,,,,,
2013-05-24,133.1,,,,,,,,,
2013-05-23,126.3,,,,,,,,,
2013-05-22,123.8,,,,,,,,,
2013-05-21,122.89,,,,,,,,,
2013-05-20,122.02,,,,,,,,,
2013-05-19,122.5,,,,,,,,,
2013-05-18,123.21,,,,,,,,,
2013-05-17,123.5,,,,,,,,,
2013-05-16,118.21,,,,,,,,,
2013-05-15,114.22,,,,,,,,,
2013-05-14,111.4,,,,,,,,,
2013-05-13,117.98,,,,,,,,,
2013-05-12,114.82,,,,,,,,,
2013-05-11,115.64,,,,,,,,,
2013-05-10,117.7,,,,,,,,,
2013-05-09,112.8,,,,,,,,,
2013-05-08,113.2,,,,,,,,,
2013-05-07,109.6,,,,,,,,,
2013-05-06,112.25,,,,,,,,,
2013-05-05,115.98,,,,,,,,,
2013-05-04,112.9,,,,,,,,,
2013-05-03,98.1,,,,,,,,,
2013-05-02,106.25,,,,,,,,,
2013-05-01,116.38,,,,,,,,,
2013-04-30,139.23,,,,,,,,,
2013-04-29,144.0,,,,,,,,,
2013-04-28,134.44,,,,,,,,,
2013-04-27,128.0,,,,,,,,,
2013-04-26,136.9,,,,,,,,,
2013-04-25,141.71,,,,,,,,,
2013-04-24,154.2,,,,,,,,,
2013-04-23,143.48,,,,,,,,,
2013-04-22,127.4,,,,,,,,,
2013-04-21,119.2,,,,,,,,,
2013-04-20,126.62,,,,,,,,,
2013-04-19,118.48,,,,,,,,,
2013-04-18,109.01,,,,,,,,,
2013-04-17,93.07,,,,,,,,,
2013-04-16,68.36,,,,,,,,,
2013-04-15,82.39,,,,,,,,,
2013-04-14,90.0,,,,,,,,,
2013-04-13,93.0,,,,,,,,,
2013-04-12,117.0,,,,,,,,,
2013-04-11,124.9,,,,,,,,,
2013-04-10,165.0,,,,,,,,,
2013-04-09,230.0,,,,,,,,,
2013-04-08,187.5,,,,,,,,,
2013-04-07,162.3,,,,,,,,,
2013-04-06,142.63,,,,,,,,,
2013-04-05,142.32,,,,,,,,,
2013-04-04,132.12,,,,,,,,,
2013-04-03,135.0,,,,,,,,,
2013-04-02,117.98,,,,,,,,,
2013-04-01,104.0,,,,,,,,,
2013-03-31,93.03,,,,,,,,,
2013-03-30,92.19,,,,,,,,,
2013-03-29,90.5,,,,,,,,,
2013-03-28,86.18,,,,,,,,,
2013-03-27,88.92,,,,,,,,,
2013-03-26,78.5,,,,,,,,,
2013-03-25,73.6,,,,,,,,,
2013-03-24,71.5,,,,,,,,,
2013-03-23,64.35,,,,,,,,,
2013-03-22,69.87,,,,,,,,,
2013-03-21,70.85,,,,,,,,,
2013-03-20,64.49,,,,,,,,,
2013-03-19,59.14,,,,,,,,,
2013-03-18,51.6,,,,,,,,,
2013-03-17,47.4,,,,,,,,,
2013-03-16,47.0,,,,,,,,,
2013-03-15,46.95,,,,,,,,,
2013-03-14,47.17,,,,,,,,,
2013-03-13,46.92,,,,,,,,,
2013-03-12,44.29,,,,,,,,,
2013-03-11,48.4,,,,,,,,,
2013-03-10,46.0,,,,,,,,,
2013-03-09,46.85,,,,,,,,,
2013-03-08,44.18,,,,,,,,,
2013-03-07,42.0,,,,,,,,,
2013-03-06,41.02,,,,,,,,,
2013-03-05,40.33,,,,,,,,,
2013-03-04,36.15,,,,,,,,,
2013-03-03,34.5,,,,,,,,,
2013-03-02,34.25,,,,,,,,,
2013-03-01,34.5,,,,,,,,,
2013-02-28,33.38,,,,,,,,,
2013-02-27,30.9,,,,,,,,,
2013-02-26,31.1,,,,,,,,,
2013-02-25,30.4,,,,,,,,,
2013-02-24,29.89,,,,,,,,,
2013-02-23,29.8,,,,,,,,,
2013-02-22,30.25,,,,,,,,,
2013-02-21,29.75,,,,,,,,,
2013-02-20,29.65,,,,,,,,,
2013-02-19,29.42,,,,,,,,,
2013-02-18,26.95,,,,,,,,,
2013-02-17,26.81,,,,,,,,,
2013-02-16,27.22,,,,,,,,,
2013-02-15,27.1,,,,,,,,,
2013-02-14,27.22,,,,,,,,,
2013-02-13,24.2,,,,,,,,,
2013-02-12,25.17,,,,,,,,,
2013-02-11,24.65,,,,,,,,,
2013-02-10,23.97,,,,,,,,,
2013-02-09,23.65,,,,,,,,,
2013-02-08,22.66,,,,,,,,,
2013-02-07,22.15,,,,,,,,,
2013-02-06,21.18,,,,,,,,,
2013-02-05,20.6,,,,,,,,,
2013-02-04,20.43,,,,,,,,,
2013-02-03,20.59,,,,,,,,,
2013-02-02,19.63,,,,,,,,,
2013-02-01,20.5,,,,,,,,,
2013-01-31,20.41,,,,,,,,,
2013-01-30,19.7,,,,,,,,,
2013-01-29,19.53,,,,,,,,,
2013-01-28,18.72,,,,,,,,,
2013-01-27,17.82,,,,,,,,,
2013-01-26,17.88,,,,,,,,,
2013-01-25,17.4,,,,,,,,,
2013-01-24,16.9,,,,,,,,,
2013-01-23,17.5,,,,,,,,,
2013-01-22,17.26,,,,,,,,,
2013-01-21,16.8,,,,,,,,,
2013-01-20,15.7,,,,,,,,,
2013-01-19,15.62,,,,,,,,,
2013-01-18,15.7,,,,,,,,,
2013-01-17,15.5,,,,,,,,,
2013-01-16,14.73,,,,,,,,,
2013-01-15,14.25,,,,,,,,,
2013-01-14,14.3,,,,,,,,,
2013-01-13,14.12,,,,,,,,,
2013-01-12,14.24,,,,,,,,,
2013-01-11,14.14,,,,,,,,,
2013-01-10,14.14,,,,,,,,,
2013-01-09,13.77,,,,,,,,,
2013-01-08,13.74,,,,,,,,,
2013-01-07,13.59,,,,,,,,,
2013-01-06,13.45,,,,,,,,,
2013-01-05,13.44,,,,,,,,,
2013-01-04,13.5,,,,,,,,,
2013-01-03,13.4,,,,,,,,,
2013-01-02,13.28,,,,,,,,,
2013-01-01,13.3,,,,,,,,,
2012-12-31,13.51,,,,,,,,,
2012-12-30,13.45,,,,,,,,,
2012-12-29,13.4,,,,,,,,,
2012-12-28,13.42,,,,,,,,,
2012-12-27,13.42,,,,,,,,,
2012-12-26,13.47,,,,,,,,,
2012-12-25,13.35,,,,,,,,,
2012-12-24,13.38,,,,,,,,,
2012-12-23,13.31,,,,,,,,,
2012-12-22,13.37,,,,,,,,,
2012-12-21,13.5,,,,,,,,,
2012-12-20,13.52,,,,,,,,,
2012-12-19,13.6,,,,,,,,,
2012-12-18,13.3,,,,,,,,,
2012-12-17,13.25,,,,,,,,,
2012-12-16,13.3,,,,,,,,,
2012-12-15,13.49,,,,,,,,,
2012-12-14,13.6,,,,,,,,,
2012-12-13,13.7,,,,,,,,,
2012-12-12,13.7,,,,,,,,,
2012-12-11,13.56,,,,,,,,,
2012-12-10,13.43,,,,,,,,,
2012-12-09,13.39,,,,,,,,,
2012-12-08,13.42,,,,,,,,,
2012-12-07,13.5,,,,,,,,,
2012-12-06,13.3,,,,,,,,,
2012-12-05,13.38,,,,,,,,,
2012-12-04,13.41,,,,,,,,,
2012-12-03,12.68,,,,,,,,,
2012-12-02,12.5,,,,,,,,,
2012-12-01,12.56,,,,,,,,,
2012-11-30,12.57,,,,,,,,,
2012-11-29,12.45,,,,,,,,,
2012-11-28,12.35,,,,,,,,,
2012-11-27,12.2,,,,,,,,,
2012-11-26,12.25,,,,,,,,,
2012-11-25,12.48,,,,,,,,,
2012-11-24,12.41,,,,,,,,,
2012-11-23,12.35,,,,,,,,,
2012-11-22,12.42,,,,,,,,,
2012-11-21,11.77,,,,,,,,,
2012-11-20,11.73,,,,,,,,,
2012-11-19,11.8,,,,,,,,,
2012-11-18,11.65,,,,,,,,,
2012-11-17,11.79,,,,,,,,,
2012-11-16,11.75,,,,,,,,,
2012-11-15,11.2,,,,,,,,,
2012-11-14,10.95,,,,,,,,,
2012-11-13,10.95,,,,,,,,,
2012-11-12,11.01,,,,,,,,,
2012-11-11,10.87,,,,,,,,,
2012-11-10,10.89,,,,,,,,,
2012-11-09,10.82,,,,,,,,,
2012-11-08,10.93,,,,,,,,,
2012-11-07,10.92,,,,,,,,,
2012-11-06,10.9,,,,,,,,,
2012-11-05,10.75,,,,,,,,,
2012-11-04,10.8,,,,,,,,,
2012-11-03,10.64,,,,,,,,,
2012-11-02,10.47,,,,,,,,,
2012-11-01,10.57,,,,,,,,,
2012-10-31,11.2,,,,,,,,,
2012-10-30,10.89,,,,,,,,,
2012-10-29,10.6,,,,,,,,,
2012-10-28,10.7,,,,,,,,,
2012-10-27,10.26,,,,,,,,,
2012-10-26,10.17,,,,,,,,,
2012-10-25,10.86,,,,,,,,,
2012-10-24,11.65,,,,,,,,,
2012-10-23,11.65,,,,,,,,,
2012-10-22,11.71,,,,,,,,,
2012-10-21,11.63,,,,,,,,,
2012-10-20,11.74,,,,,,,,,
2012-10-19,11.74,,,,,,,,,
2012-10-18,11.94,,,,,,,,,
2012-10-17,11.81,,,,,,,,,
2012-10-16,11.85,,,,,,,,,
2012-10-15,11.84,,,,,,,,,
2012-10-14,11.74,,,,,,,,,
2012-10-13,11.86,,,,,,,,,
2012-10-12,12.0,,,,,,,,,
2012-10-11,12.03,,,,,,,,,
2012-10-10,12.12,,,,,,,,,
2012-10-09,11.9,,,,,,,,,
2012-10-08,11.78,,,,,,,,,
2012-10-07,11.8,,,,,,,,,
2012-10-06,12.51,,,,,,,,,
2012-10-05,12.69,,,,,,,,,
2012-10-04,12.85,,,,,,,,,
2012-10-03,12.89,,,,,,,,,
2012-10-02,12.84,,,,,,,,,
2012-10-01,12.4,,,,,,,,,
2012-09-30,12.4,,,,,,,,,
2012-09-29,12.36,,,,,,,,,
2012-09-28,12.39,,,,,,,,,
2012-09-27,12.31,,,,,,,,,
2012-09-26,12.27,,,,,,,,,
2012-09-25,12.2,,,,,,,,,
2012-09-24,12.1,,,,,,,,,
2012-09-23,12.19,,,,,,,,,
2012-09-22,12.24,,,,,,,,,
2012-09-21,12.37,,,,,,,,,
2012-09-20,12.28,,,,,,,,,
2012-09-19,12.57,,,,,,,,,
2012-09-18,12.25,,,,,,,,,
2012-09-17,11.89,,,,,,,,,
2012-09-16,11.87,,,,,,,,,
2012-09-15,11.75,,,,,,,,,
2012-09-14,11.67,,,,,,,,,
2012-09-13,11.4,,,,,,,,,
2012-09-12,11.36,,,,,,,,,
2012-09-11,11.33,,,,,,,,,
2012-09-10,11.17,,,,,,,,,
2012-09-09,11.02,,,,,,,,,
2012-09-08,11.04,,,,,,,,,
2012-09-07,11.0,,,,,,,,,
2012-09-06,11.18,,,,,,,,,
2012-09-05,11.0,,,,,,,,,
2012-09-04,10.38,,,,,,,,,
2012-09-03,10.53,,,,,,,,,
2012-09-02,10.2,,,,,,,,,
2012-09-01,9.97,,,,,,,,,
2012-08-31,10.16,,,,,,,,,
2012-08-30,10.78,,,,,,,,,
2012-08-29,10.92,,,,,,,,,
2012-08-28,10.94,,,,,,,,,
2012-08-27,10.95,,,,,,,,,
2012-08-26,10.61,,,,,,,,,
2012-08-25,10.52,,,,,,,,,
2012-08-24,10.6,,,,,,,,,
2012-08-23,10.1,,,,,,,,,
2012-08-22,9.81,,,,,,,,,
2012-08-21,9.92,,,,,,,,,
2012-08-20,10.1,,,,,,,,,
2012-08-19,8.0,,,,,,,,,
2012-08-18,11.61,,,,,,,,,
2012-08-17,11.58,,,,,,,,,
2012-08-16,13.5,,,,,,,,,
2012-08-15,13.25,,,,,,,,,
2012-08-14,12.19,,,,,,,,,
2012-08-13,12.04,,,,,,,,,
2012-08-12,11.62,,,,,,,,,
2012-08-11,11.51,,,,,,,,,
2012-08-10,11.39,,,,,,,,,
2012-08-09,11.06,,,,,,,,,
2012-08-08,11.06,,,,,,,,,
2012-08-07,11.1,,,,,,,,,
2012-08-06,10.86,,,,,,,,,
2012-08-05,10.87,,,,,,,,,
2012-08-04,10.98,,,,,,,,,
2012-08-03,10.97,,,,,,,,,
2012-08-02,10.53,,,,,,,,,
2012-08-01,9.55,,,,,,,,,
2012-07-31,9.35,,,,,,,,,
2012-07-30,9.1,,,,,,,,,
2012-07-29,8.71,,,,,,,,,
2012-07-28,8.89,,,,,,,,,
2012-07-27,8.9,,,,,,,,,
2012-07-26,8.9,,,,,,,,,
2012-07-25,8.8,,,,,,,,,
2012-07-24,8.6,,,,,,,,,
2012-07-23,8.45,,,,,,,,,
2012-07-22,8.41,,,,,,,,,
2012-07-21,8.85,,,,,,,,,
2012-07-20,8.52,,,,,,,,,
2012-07-19,8.87,,,,,,,,,
2012-07-18,9.11,,,,,,,,,
2012-07-17,8.8,,,,,,,,,
2012-07-16,8.5,,,,,,,,,
2012-07-15,7.62,,,,,,,,,
2012-07-14,7.54,,,,,,,,,
2012-07-13,7.67,,,,,,,,,
2012-07-12,7.76,,,,,,,,,
2012-07-11,7.15,,,,,,,,,
2012-07-10,7.2,,,,,,,,,
2012-07-09,7.02,,,,,,,,,
2012-07-08,6.8,,,,,,,,,
2012-07-07,6.76,,,,,,,,,
2012-07-06,6.65,,,,,,,,,
2012-07-05,6.67,,,,,,,,,
2012-07-04,6.51,,,,,,,,,
2012-07-03,6.45,,,,,,,,,
2012-07-02,6.76,,,,,,,,,
2012-07-01,6.63,,,,,,,,,
2012-06-30,6.69,,,,,,,,,
2012-06-29,6.65,,,,,,,,,
2012-06-28,6.61,,,,,,,,,
2012-06-27,6.65,,,,,,,,,
2012-06-26,6.42,,,,,,,,,
2012-06-25,6.3,,,,,,,,,
2012-06-24,6.35,,,,,,,,,
2012-06-23,6.43,,,,,,,,,
2012-06-22,6.55,,,,,,,,,
2012-06-21,6.68,,,,,,,,,
2012-06-20,6.67,,,,,,,,,
2012-06-19,6.5,,,,,,,,,
2012-06-18,6.31,,,,,,,,,
2012-06-17,6.16,,,,,,,,,
2012-06-16,6.4,,,,,,,,,
2012-06-15,6.5,,,,,,,,,
2012-06-14,5.95,,,,,,,,,
2012-06-13,5.93,,,,,,,,,
2012-06-12,5.7,,,,,,,,,
2012-06-11,5.57,,,,,,,,,
2012-06-10,5.47,,,,,,,,,
2012-06-09,5.56,,,,,,,,,
2012-06-08,5.63,,,,,,,,,
2012-06-07,5.59,,,,,,,,,
2012-06-06,5.46,,,,,,,,,
2012-06-05,5.44,,,,,,,,,
2012-06-04,5.27,,,,,,,,,
2012-06-03,5.21,,,,,,,,,
2012-06-02,5.25,,,,,,,,,
2012-06-01,5.27,,,,,,,,,
2012-05-31,5.18,,,,,,,,,
2012-05-30,5.14,,,,,,,,,
2012-05-29,5.15,,,,,,,,,
2012-05-28,5.14,,,,,,,,,
2012-05-27,5.14,,,,,,,,,
2012-05-26,5.1,,,,,,,,,
2012-05-25,5.15,,,,,,,,,
2012-05-24,5.12,,,,,,,,,
2012-05-23,5.14,,,,,,,,,
2012-05-22,5.1,,,,,,,,,
2012-05-21,5.1,,,,,,,,,
2012-05-20,5.09,,,,,,,,,
2012-05-19,5.1,,,,,,,,,
2012-05-18,5.12,,,,,,,,,
2012-05-17,5.1,,,,,,,,,
2012-05-16,5.09,,,,,,,,,
2012-05-15,5.04,,,,,,,,,
2012-05-14,5.01,,,,,,,,,
2012-05-13,4.93,,,,,,,,,
2012-05-12,4.95,,,,,,,,,
2012-05-11,4.96,,,,,,,,,
2012-05-10,4.85,,,,,,,,,
2012-05-09,5.04,,,,,,,,,
2012-05-08,5.05,,,,,,,,,
2012-05-07,5.06,,,,,,,,,
2012-05-06,5.05,,,,,,,,,
2012-05-05,5.08,,,,,,,,,
2012-05-04,5.07,,,,,,,,,
2012-05-03,5.13,,,,,,,,,
2012-05-02,5.07,,,,,,,,,
2012-05-01,5.0,,,,,,,,,
2012-04-30,4.95,,,,,,,,,
2012-04-29,4.9,,,,,,,,,
2012-04-28,4.98,,,,,,,,,
2012-04-27,5.11,,,,,,,,,
2012-04-26,5.1,,,,,,,,,
2012-04-25,5.13,,,,,,,,,
2012-04-24,5.1,,,,,,,,,
2012-04-23,4.96,,,,,,,,,
2012-04-22,5.2,,,,,,,,,
2012-04-21,5.26,,,,,,,,,
2012-04-20,5.35,,,,,,,,,
2012-04-19,5.14,,,,,,,,,
2012-04-18,5.12,,,,,,,,,
2012-04-17,4.98,,,,,,,,,
2012-04-16,4.93,,,,,,,,,
2012-04-15,4.97,,,,,,,,,
2012-04-14,4.96,,,,,,,,,
2012-04-13,4.94,,,,,,,,,
2012-04-12,4.92,,,,,,,,,
2012-04-11,4.93,,,,,,,,,
2012-04-10,4.84,,,,,,,,,
2012-04-09,4.87,,,,,,,,,
2012-04-08,4.79,,,,,,,,,
2012-04-07,4.69,,,,,,,,,
2012-04-06,4.95,,,,,,,,,
2012-04-05,4.92,,,,,,,,,
2012-04-04,4.91,,,,,,,,,
2012-04-03,4.95,,,,,,,,,
2012-04-02,4.97,,,,,,,,,
2012-04-01,4.83,,,,,,,,,
2012-03-31,4.91,,,,,,,,,
2012-03-30,4.86,,,,,,,,,
2012-03-29,4.81,,,,,,,,,
2012-03-28,4.79,,,,,,,,,
2012-03-27,4.81,,,,,,,,,
2012-03-26,4.62,,,,,,,,,
2012-03-25,4.55,,,,,,,,,
2012-03-24,4.68,,,,,,,,,
2012-03-23,4.69,,,,,,,,,
2012-03-22,4.7,,,,,,,,,
2012-03-21,4.81,,,,,,,,,
2012-03-20,4.84,,,,,,,,,
2012-03-19,4.69,,,,,,,,,
2012-03-18,5.28,,,,,,,,,
2012-03-17,5.22,,,,,,,,,
2012-03-16,5.34,,,,,,,,,
2012-03-15,5.33,,,,,,,,,
2012-03-14,5.38,,,,,,,,,
2012-03-13,5.27,,,,,,,,,
2012-03-12,4.89,,,,,,,,,
2012-03-11,4.91,,,,,,,,,
2012-03-10,4.83,,,,,,,,,
2012-03-09,4.86,,,,,,,,,
2012-03-08,4.93,,,,,,,,,
2012-03-07,4.94,,,,,,,,,
2012-03-06,4.99,,,,,,,,,
2012-03-05,4.98,,,,,,,,,
2012-03-04,4.82,,,,,,,,,
2012-03-03,4.61,,,,,,,,,
2012-03-02,4.7,,,,,,,,,
2012-03-01,4.92,,,,,,,,,
2012-02-29,4.86,,,,,,,,,
2012-02-28,4.87,,,,,,,,,
2012-02-27,4.96,,,,,,,,,
2012-02-26,4.92,,,,,,,,,
2012-02-25,4.77,,,,,,,,,
2012-02-24,5.03,,,,,,,,,
2012-02-23,5.01,,,,,,,,,
2012-02-22,4.42,,,,,,,,,
2012-02-21,4.27,,,,,,,,,
2012-02-20,4.36,,,,,,,,,
2012-02-19,4.39,,,,,,,,,
2012-02-18,4.22,,,,,,,,,
2012-02-17,4.41,,,,,,,,,
2012-02-16,4.27,,,,,,,,,
2012-02-15,4.33,,,,,,,,,
2012-02-14,4.46,,,,,,,,,
2012-02-13,5.26,,,,,,,,,
2012-02-12,5.51,,,,,,,,,
2012-02-11,5.6,,,,,,,,,
2012-02-10,5.91,,,,,,,,,
2012-02-09,5.83,,,,,,,,,
2012-02-08,5.6,,,,,,,,,
2012-02-07,5.69,,,,,,,,,
2012-02-06,5.45,,,,,,,,,
2012-02-05,5.69,,,,,,,,,
2012-02-04,5.87,,,,,,,,,
2012-02-03,5.96,,,,,,,,,
2012-02-02,6.1,,,,,,,,,
2012-02-01,6.08,,,,,,,,,
2012-01-31,5.48,,,,,,,,,
2012-01-30,5.49,,,,,,,,,
2012-01-29,5.38,,,,,,,,,
2012-01-28,5.63,,,,,,,,,
2012-01-27,5.29,,,,,,,,,
2012-01-26,5.34,,,,,,,,,
2012-01-25,5.75,,,,,,,,,
2012-01-24,6.29,,,,,,,,,
2012-01-23,6.36,,,,,,,,,
2012-01-22,6.31,,,,,,,,,
2012-01-21,6.18,,,,,,,,,
2012-01-20,6.49,,,,,,,,,
2012-01-19,6.36,,,,,,,,,
2012-01-18,5.92,,,,,,,,,
2012-01-17,5.6,,,,,,,,,
2012-01-16,6.68,,,,,,,,,
2012-01-15,7.0,,,,,,,,,
2012-01-14,6.75,,,,,,,,,
2012-01-13,6.41,,,,,,,,,
2012-01-12,6.8,,,,,,,,,
2012-01-11,6.9,,,,,,,,,
2012-01-10,6.36,,,,,,,,,
2012-01-09,6.33,,,,,,,,,
2012-01-08,7.11,,,,,,,,,
2012-01-07,6.81,,,,,,,,,
2012-01-06,6.7,,,,,,,,,
2012-01-05,6.95,,,,,,,,,
2012-01-04,5.57,,,,,,,,,
2012-01-03,4.88,,,,,,,,,
2012-01-02,5.22,,,,,,,,,
2012-01-01,5.27,,,,,,,,,
2011-12-31,4.72,,,,,,,,,
2011-12-30,4.25,,,,,,,,,
2011-12-29,4.17,,,,,,,,,
2011-12-28,4.19,,,,,,,,,
2011-12-27,4.07,,,,,,,,,
2011-12-26,4.02,,,,,,,,,
2011-12-25,4.22,,,,,,,,,
2011-12-24,3.94,,,,,,,,,
2011-12-23,3.95,,,,,,,,,
2011-12-22,3.89,,,,,,,,,
2011-12-21,3.89,,,,,,,,,
2011-12-20,3.95,,,,,,,,,
2011-12-19,3.52,,,,,,,,,
2011-12-18,3.19,,,,,,,,,
2011-12-17,3.2,,,,,,,,,
2011-12-16,3.2,,,,,,,,,
2011-12-15,3.2,,,,,,,,,
2011-12-14,3.15,,,,,,,,,
2011-12-13,3.25,,,,,,,,,
2011-12-12,3.14,,,,,,,,,
2011-12-11,3.25,,,,,,,,,
2011-12-10,3.05,,,,,,,,,
2011-12-09,2.97,,,,,,,,,
2011-12-08,2.98,,,,,,,,,
2011-12-07,2.99,,,,,,,,,
2011-12-06,3.03,,,,,,,,,
2011-12-05,2.88,,,,,,,,,
2011-12-04,2.83,,,,,,,,,
2011-12-03,2.79,,,,,,,,,
2011-12-02,3.12,,,,,,,,,
2011-12-01,3.06,,,,,,,,,
2011-11-30,2.97,,,,,,,,,
2011-11-29,2.75,,,,,,,,,
2011-11-28,2.55,,,,,,,,,
2011-11-27,2.48,,,,,,,,,
2011-11-26,2.47,,,,,,,,,
2011-11-25,2.51,,,,,,,,,
2011-11-24,2.43,,,,,,,,,
2011-11-23,2.33,,,,,,,,,
2011-11-22,2.33,,,,,,,,,
2011-11-21,2.29,,,,,,,,,
2011-11-20,2.2,,,,,,,,,
2011-11-19,2.2,,,,,,,,,
2011-11-18,2.05,,,,,,,,,
2011-11-17,2.25,,,,,,,,,
2011-11-16,2.56,,,,,,,,,
2011-11-15,2.33,,,,,,,,,
2011-11-14,2.22,,,,,,,,,
2011-11-13,3.0,,,,,,,,,
2011-11-12,3.03,,,,,,,,,
2011-11-11,3.08,,,,,,,,,
2011-11-10,2.84,,,,,,,,,
2011-11-09,2.95,,,,,,,,,
2011-11-08,3.04,,,,,,,,,
2011-11-07,3.01,,,,,,,,,
2011-11-06,2.96,,,,,,,,,
2011-11-05,2.97,,,,,,,,,
2011-11-04,3.11,,,,,,,,,
2011-11-03,3.15,,,,,,,,,
2011-11-02,3.25,,,,,,,,,
2011-11-01,3.15,,,,,,,,,
2011-10-31,3.25,,,,,,,,,
2011-10-30,3.27,,,,,,,,,
2011-10-29,3.58,,,,,,,,,
2011-10-28,3.19,,,,,,,,,
2011-10-27,3.04,,,,,,,,,
2011-10-26,2.77,,,,,,,,,
2011-10-25,2.77,,,,,,,,,
2011-10-24,2.55,,,,,,,,,
2011-10-23,3.17,,,,,,,,,
2011-10-22,3.16,,,,,,,,,
2011-10-21,2.57,,,,,,,,,
2011-10-20,2.35,,,,,,,,,
2011-10-19,2.27,,,,,,,,,
2011-10-18,2.42,,,,,,,,,
2011-10-17,2.56,,,,,,,,,
2011-10-16,3.56,,,,,,,,,
2011-10-15,3.84,,,,,,,,,
2011-10-14,3.99,,,,,,,,,
2011-10-13,4.05,,,,,,,,,
2011-10-12,4.15,,,,,,,,,
2011-10-11,3.93,,,,,,,,,
2011-10-10,4.1,,,,,,,,,
2011-10-09,4.1,,,,,,,,,
2011-10-08,4.01,,,,,,,,,
2011-10-07,4.27,,,,,,,,,
2011-10-06,4.73,,,,,,,,,
2011-10-05,4.87,,,,,,,,,
2011-10-04,4.96,,,,,,,,,
2011-10-03,5.02,,,,,,,,,
2011-10-02,5.03,,,,,,,,,
2011-10-01,5.03,,,,,,,,,
2011-09-30,5.14,,,,,,,,,
2011-09-29,4.78,,,,,,,,,
2011-09-28,4.77,,,,,,,,,
2011-09-27,4.92,,,,,,,,,
2011-09-26,4.87,,,,,,,,,
2011-09-25,5.33,,,,,,,,,
2011-09-24,5.47,,,,,,,,,
2011-09-23,5.55,,,,,,,,,
2011-09-22,5.43,,,,,,,,,
2011-09-21,5.61,,,,,,,,,
2011-09-20,6.11,,,,,,,,,
2011-09-19,5.46,,,,,,,,,
2011-09-18,5.2,,,,,,,,,
2011-09-17,4.77,,,,,,,,,
2011-09-16,4.82,,,,,,,,,
2011-09-15,4.84,,,,,,,,,
2011-09-14,5.62,,,,,,,,,
2011-09-13,5.8,,,,,,,,,
2011-09-12,6.08,,,,,,,,,
2011-09-11,5.86,,,,,,,,,
2011-09-10,4.77,,,,,,,,,
2011-09-09,5.03,,,,,,,,,
2011-09-08,6.53,,,,,,,,,
2011-09-07,7.19,,,,,,,,,
2011-09-06,6.86,,,,,,,,,
2011-09-05,7.61,,,,,,,,,
2011-09-04,8.18,,,,,,,,,
2011-09-03,8.48,,,,,,,,,
2011-09-02,8.64,,,,,,,,,
2011-09-01,8.21,,,,,,,,,
2011-08-31,8.2,,,,,,,,,
2011-08-30,8.79,,,,,,,,,
2011-08-29,8.97,,,,,,,,,
2011-08-28,9.07,,,,,,,,,
2011-08-27,8.59,,,,,,,,,
2011-08-26,8.18,,,,,,,,,
2011-08-25,9.66,,,,,,,,,
2011-08-24,10.85,,,,,,,,,
2011-08-23,10.94,,,,,,,,,
2011-08-22,10.9,,,,,,,,,
2011-08-21,11.31,,,,,,,,,
2011-08-20,11.45,,,,,,,,,
2011-08-19,11.65,,,,,,,,,
2011-08-18,10.83,,,,,,,,,
2011-08-17,10.95,,,,,,,,,
2011-08-16,10.96,,,,,,,,,
2011-08-15,11.15,,,,,,,,,
2011-08-14,10.8,,,,,,,,,
2011-08-13,10.13,,,,,,,,,
2011-08-12,9.46,,,,,,,,,
2011-08-11,9.46,,,,,,,,,
2011-08-10,9.98,,,,,,,,,
2011-08-09,9.99,,,,,,,,,
2011-08-08,7.8,,,,,,,,,
2011-08-07,7.9,,,,,,,,,
2011-08-06,6.55,,,,,,,,,
2011-08-05,9.8,,,,,,,,,
2011-08-04,10.75,,,,,,,,,
2011-08-03,9.26,,,,,,,,,
2011-08-02,12.05,,,,,,,,,
2011-08-01,13.09,,,,,,,,,
2011-07-31,13.35,,,,,,,,,
2011-07-30,13.53,,,,,,,,,
2011-07-29,13.5,,,,,,,,,
2011-07-28,13.49,,,,,,,,,
2011-07-27,13.94,,,,,,,,,
2011-07-26,13.88,,,,,,,,,
2011-07-25,14.05,,,,,,,,,
2011-07-24,13.98,,,,,,,,,
2011-07-23,13.68,,,,,,,,,
2011-07-22,13.7,,,,,,,,,
2011-07-21,13.61,,,,,,,,,
2011-07-20,13.69,,,,,,,,,
2011-07-19,13.85,,,,,,,,,
2011-07-18,13.48,,,,,,,,,
2011-07-17,13.16,,,,,,,,,
2011-07-16,13.72,,,,,,,,,
2011-07-15,13.81,,,,,,,,,
2011-07-14,13.99,,,,,,,,,
2011-07-13,13.95,,,,,,,,,
2011-07-12,14.01,,,,,,,,,
